﻿Title:,"Table 5 - Research grants and contracts - breakdown by source of income and HESA cost centre"
Subtitle:,"Academic years 2015/16 to 2017/18"
Reference ID:,DT031 Table 5
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2019
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre▼101 Clinical medicine,102 Clinical dentistry,103 Nursing & allied health professions,104 Psychology & behavioural sciences,105 Health & community studies,106 Anatomy & physiology,107 Pharmacy & pharmacology,108 Sports science & leisure studies,109 Veterinary science,110 Agriculture, forestry & food science,111 Earth, marine & environmental sciences,112 Biosciences,113 Chemistry,114 Physics,115 General engineering,116 Chemical engineering,117 Mineral, metallurgy & materials engineering,118 Civil engineering,119 Electrical, electronic & computer engineering,120 Mechanical, aero & production engineering,121 IT, systems sciences & computer software engineering,122 Mathematics,123 Architecture, built environment & planning,124 Geography & environmental studies,125 Area studies,126 Archaeology,127 Anthropology & development studies,128 Politics & international studies,129 Economics & econometrics,130 Law,131 Social work & social policy,132 Sociology,133 Business & management studies,134 Catering & hospitality management,135 Education,136 Continuing education,137 Modern languages,138 English language & literature,139 History,140 Classics,141 Philosophy,142 Theology & religious studies,143 Art & design,144 Music, dance, drama & performing arts,145 Media studies,201 Total academic services,202 Central administration & services,203 General educational expenditure,204 Staff & student facilities,207 Total research grants and contracts,Co-investment from external sources on funding council-funded projects (included in Heads 1 to 4 above)Total academic departments,Total administration & central services
,Academic year,2017/18 


"","","","","(£000s)","",""
"UKPRN","HE Provider","2 UK-based charities (open competitive process)","3 UK based charities (other)","4 UK central government bodies/local authorities, health and hospital authorities","5 UK central government tax credits for research and development expenditure","6 UK industry, commerce and public corporations","7 UK other sources","8 EU government bodies","9 EU-based charities (open competitive process)","10 EU industry, commerce and public corporations","11 EU (excluding UK) other","12 Non-EU-based charities (open competitive process)","13 Non-EU industry, commerce and public corporations","14 Non-EU other","15 Total"
"10007799","Newcastle University","15,913","4,880","15,736","0","1,480","329","4,803","123","376","746","130","3,160","1,083","58,281"
"10007832","Newman University","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007138","The University of Northampton","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10001282","University of Northumbria at Newcastle","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10004775","Norwich University of the Arts","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007154","University of Nottingham","4,543","380","11,803","0","512","304","973","26","608","80","218","775","409","26,624"
"10004797","The Nottingham Trent University","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007773","The Open University","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10004930","Oxford Brookes University","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007774","The University of Oxford","101,673","3,904","61,125","0","11,012","693","17,075","942","9,172","395","18,557","22,433","9,659","308,519"
"10005127","Plymouth College of Art","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007801","University of Plymouth","833","43","2,205","0","133","1","174","0","82","(2)","0","0","0","3,733"
"10007155","The University of Portsmouth","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10005337","Queen Margaret University, Edinburgh","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007775","Queen Mary University of London","22,435","5,172","15,184","0","7,252","796","3,282","16","947","1","1,022","2,825","1,214","68,564"
"10005389","Ravensbourne University London","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007802","The University of Reading","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10005500","The Robert Gordon University","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007776","Roehampton University","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10005523","Rose Bruford College of Theatre and Performance","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007835","Royal Academy of Music","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10005545","Royal Agricultural University","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007777","Royal College of Art","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007778","Royal College of Music","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10005561","Royal Conservatoire of Scotland","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007816","The Royal Central School of Speech and Drama","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10005553","Royal Holloway and Bedford New College","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007837","Royal Northern College of Music","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007779","The Royal Veterinary College","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007803","The University of St Andrews","576","55","984","0","286","2","84","0","26","160","3","42","35","2,761"
"10007782","St George's, University of London","1,321","1,413","1,795","0","601","13","1,600","84","90","0","17","191","801","10,666"
"10008026","St Mary's University College","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007843","St Mary's University, Twickenham","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007156","The University of Salford","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007780","SOAS University of London","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10005700","SRUC","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10005790","Sheffield Hallam University","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007157","The University of Sheffield","6,105","(497)","4,298","0","1,291","1,025","1,564","129","322","34","171","650","174","18,896"
"10006022","Solent University","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007158","The University of Southampton","8,862","225","8,105","0","901","20","1,418","6","1,212","25","97","2,687","565","29,693"
"10006299","Staffordshire University","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007804","The University of Stirling","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10037449","University of St Mark and St John","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10008010","Stranmillis University College","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007805","The University of Strathclyde","68","7","387","0","71","8","20","0","24","0","0","43","0","797"
"10014001","University of Suffolk","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007159","The University of Sunderland","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007160","The University of Surrey","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007806","The University of Sussex","391","0","825","0","233","0","47","0","0","0","0","0","150","1,913"
"10007855","Swansea University","1,347","0","4,812","0","433","416","1,374","0","148","0","0","11","38","11,648"
"10007161","Teesside University","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10008017","Trinity Laban Conservatoire of Music and Dance","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007858","University of Wales Trinity Saint David","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007114","University of the Highlands and Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007807","Ulster University","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007784","University College London","89,316","12,928","44,354","0","9,660","2,744","14,156","1,139","1,384","1,991","5,517","8,723","5,374","249,121"
"10007793","University of South Wales","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10008574","The University of Wales (central functions)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007163","The University of Warwick","1,084","427","11,832","0","328","314","306","0","0","143","0","271","209","15,798"
"10007164","University of the West of England, Bristol","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007800","The University of the West of Scotland","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10006566","The University of West London","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007165","The University of Westminster","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10003614","The University of Winchester","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007166","The University of Wolverhampton","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007139","University of Worcester","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007657","Writtle University College","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007713","York St John University","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007167","The University of York","699","0","293","(1)","0","0","8","0","0","0","0","33","8","1,890"
"","Total","627,026","62,281","481,574","3,053","81,558","16,340","133,868","5,242","51,161","8,212","80,952","70,737","82,093","2,093,326"
