UKPRN,HE Provider,1a Biotechnology and Biological Sciences Research Council (BBSRC),1b Medical Research Council (MRC),1c Natural Environment Research Council (NERC),1d Engineering and Physical Sciences Research Council (EPSRC),1e Economic and Social Research Council (ESRC),1f Arts & Humanities Research Council (AHRC),1g Science & Technology Facilities Council (STFC),1h Other,1i Total Research Councils
10007162,"University of the Arts, London",0,0,0,0,0,0,0,0,0
10007769,London Business School,0,0,0,0,0,0,0,0,0
10007797,University of London (Institutes and activities),0,0,0,0,0,0,0,0,0
10004048,London Metropolitan University,0,0,0,0,0,0,0,0,0
10004078,London South Bank University,0,0,0,0,0,0,0,0,0
10004063,London School of Economics and Political Science,0,0,0,0,0,0,0,0,0
10007771,London School of Hygiene and Tropical Medicine,1646,22518,27,109,1473,0,0,209,25982
10004113,Loughborough University,0,0,0,0,0,0,0,0,0
10004180,The Manchester Metropolitan University,0,0,0,0,0,0,0,0,0
10007798,The University of Manchester,908,8085,0,767,222,0,129,19,10130
10004351,Middlesex University,0,0,0,0,0,0,0,0,0
10007799,Newcastle University,934,7680,0,852,38,0,2,16,9522
10007832,Newman University,0,0,0,0,0,0,0,0,0
10007138,The University of Northampton,0,0,0,0,0,0,0,0,0
10001282,University of Northumbria at Newcastle,0,0,0,0,0,0,0,0,0
10004775,Norwich University of the Arts,0,0,0,0,0,0,0,0,0
10007154,University of Nottingham,337,5244,0,178,225,21,21,-33,5993
10004797,The Nottingham Trent University,0,0,0,0,0,0,0,0,0
10007773,The Open University,0,0,0,0,0,0,0,0,0
10004930,Oxford Brookes University,0,0,0,0,0,0,0,0,0
10007774,The University of Oxford,2100,46453,195,1717,720,0,1,693,51879
10005127,Plymouth College of Art,0,0,0,0,0,0,0,0,0
10007801,University of Plymouth,70,113,74,0,7,0,0,0,264
10007155,The University of Portsmouth,0,0,0,0,0,0,0,0,0
10005337,"Queen Margaret University, Edinburgh",0,0,0,0,0,0,0,0,0
10007775,Queen Mary University of London,896,6104,0,138,16,0,0,1264,8418
10005389,Ravensbourne University London,0,0,0,0,0,0,0,0,0
10007802,The University of Reading,0,0,0,0,0,0,0,0,0
10005500,The Robert Gordon University,0,0,0,0,0,0,0,0,0
10007776,Roehampton University,0,0,0,0,0,0,0,0,0
10005523,Rose Bruford College of Theatre and Performance,0,0,0,0,0,0,0,0,0
10007835,Royal Academy of Music,0,0,0,0,0,0,0,0,0
10005545,Royal Agricultural University,0,0,0,0,0,0,0,0,0
10007777,Royal College of Art,0,0,0,0,0,0,0,0,0
10007778,Royal College of Music,0,0,0,0,0,0,0,0,0
10005561,Royal Conservatoire of Scotland,0,0,0,0,0,0,0,0,0
10007816,The Royal Central School of Speech and Drama,0,0,0,0,0,0,0,0,0
10005553,Royal Holloway and Bedford New College,0,0,0,0,0,0,0,0,0
10007837,Royal Northern College of Music,0,0,0,0,0,0,0,0,0
10007779,The Royal Veterinary College,0,0,0,0,0,0,0,0,0
10007803,University of St Andrews,81,249,0,0,0,0,0,178,508
10007782,"St George's, University of London",235,2492,0,0,0,0,0,13,2740
10008026,St Mary's University College,0,0,0,0,0,0,0,0,0
10007843,"St Mary's University, Twickenham",0,0,0,0,0,0,0,0,0
10007156,The University of Salford,0,0,0,0,0,0,0,0,0
10007780,SOAS University of London,0,0,0,0,0,0,0,0,0
10005700,SRUC,0,0,0,0,0,0,0,0,0
10005790,Sheffield Hallam University,0,0,0,0,0,0,0,0,0
10007157,The University of Sheffield,271,2709,0,587,13,0,0,50,3630
10006022,Solent University,0,0,0,0,0,0,0,0,0
10007158,The University of Southampton,489,4623,0,335,27,0,0,96,5570
10006299,Staffordshire University,0,0,0,0,0,0,0,0,0
10007804,The University of Stirling,0,0,0,0,0,0,0,0,0
10037449,University of St Mark and St John,0,0,0,0,0,0,0,0,0
10008010,Stranmillis University College,0,0,0,0,0,0,0,0,0
10007805,The University of Strathclyde,0,27,0,75,0,0,67,0,169
10014001,University of Suffolk,0,0,0,0,0,0,0,0,0
10007159,The University of Sunderland,0,0,0,0,0,0,0,0,0
10007160,The University of Surrey,0,0,0,0,0,0,0,0,0
10007806,The University of Sussex,174,31,0,12,50,0,0,0,267
10007855,Swansea University,85,1149,57,659,1109,0,10,0,3069
10007161,Teesside University,0,0,0,0,0,0,0,0,0
10008017,Trinity Laban Conservatoire of Music and Dance,0,0,0,0,0,0,0,0,0
10007858,University of Wales Trinity Saint David,0,0,0,0,0,0,0,0,0
10007114,University of the Highlands and Islands,0,0,0,0,0,0,0,0,0
10007807,Ulster University,0,0,0,0,0,0,0,0,0
10007784,University College London,3578,42600,2,1415,3240,0,0,1000,51835
10007793,University of South Wales,0,0,0,0,0,0,0,0,0
10008574,The University of Wales (central functions),0,0,0,0,0,0,0,0,0
10007163,The University of Warwick,155,637,0,32,34,23,0,3,884
10007164,"University of the West of England, Bristol",0,0,0,0,0,0,0,0,0
10007800,The University of the West of Scotland,0,0,0,0,0,0,0,0,0
10006566,The University of West London,0,0,0,0,0,0,0,0,0
10007165,The University of Westminster,0,0,0,0,0,0,0,0,0
10003614,The University of Winchester,0,0,0,0,0,0,0,0,0
10007166,The University of Wolverhampton,0,0,0,0,0,0,0,0,0
10007139,University of Worcester,0,0,0,0,0,0,0,0,0
10007657,Writtle University College,0,0,0,0,0,0,0,0,0
10007713,York St John University,0,0,0,0,0,0,0,0,0
10007167,The University of York,99,751,0,0,0,0,0,0,850
