slug,year,start,end,attendance,country,region,country_code,organiser,organiser_web_domain,organiser_top_level_web_domain,organiser_normalised_name,organiser_common_name,organiser_country_code,venue,address,longitude,latitude,workshop_type,workshop_subtype,workshop_status,tags,website_url,workshop_domains
2019-02-18-edinburgh-business-school,2019.0,2019-02-18,2019-02-19,35,United Kingdom,Scotland,GB,University of Edinburgh,ed.ac.uk,ed.ac.uk,UNIVERSITY OF EDINBURGH,University of Edinburgh,GB,The University of Edinburgh - Business School,"1.12 Computer Teaching Lab. University of Edinburgh. Business School. 29 Buccleuch Place, Edinburgh, Lothian EH8 9JS",-3.1873198818445543,55.943136088758706,DC,,,['DC'],https://edcarp.github.io/2019-02-18-edinburgh-business-school/,
2020-11-25-edinburgh-dc-digital-humanities,2020.0,2020-11-25,2020-11-27,0,United Kingdom,Scotland,GB,University of Edinburgh,ed.ac.uk,ed.ac.uk,UNIVERSITY OF EDINBURGH,University of Edinburgh,GB,University of Edinburgh,online,-123.39333300000001,-48.876667,DC,,,"['DC', 'online']",https://edcarp.github.io/2020-11-25-edinburgh-dc-digital-humanities/,
2018-09-13-edinburgh,2018.0,2018-09-13,2018-09-14,46,United Kingdom,Scotland,GB,University of Edinburgh,ed.ac.uk,ed.ac.uk,UNIVERSITY OF EDINBURGH,University of Edinburgh,GB,The University of Edinburgh,"Teaching Studio LG.07, David Hume Tower, George Sq, EH8 9JX, Edinburgh",-3.19018,55.94424,DC,,,['DC'],https://edcarp.github.io/2018-09-13-edinburgh/,
2014-05-19-ucl,2014.0,2014-05-19,2014-05-20,12,United Kingdom,London,GB,University College London,ucl.ac.uk,ucl.ac.uk,UNIVERSITY COLLEGE LONDON,University College London,GB,University College London,University College London,-0.13404000000000002,51.524559,SWC,,,['SWC'],http://cannot.find.url/2014-05-19-ucl/,
2020-11-25-rslondon,2020.0,2020-11-25,2020-11-27,0,United Kingdom,London,GB,University College London,ucl.ac.uk,ucl.ac.uk,UNIVERSITY COLLEGE LONDON,University College London,GB,Research Software London,Online,-123.39333300000001,-48.876667,SWC,,,"['SWC', 'online']",https://rslondon.github.io/2020-11-25-rslondon/,
2019-10-10-Imperial,2019.0,2019-10-10,2019-10-11,0,United Kingdom,London,GB,Imperial College London,imperial.ac.uk,imperial.ac.uk,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE","Imperial College of Science, Technology and Medicine",GB,R for reproducible scientific analysis - Imperial College London,"ICT training room, Central Library 204, South Kensington campus",-0.178368,51.498152000000005,SWC,,,['SWC'],https://kmichali.github.io/2019-10-10-Imperial/,
2015-12-15-Southampton,2015.0,2015-12-15,2015-12-15,74,United Kingdom,South East,GB,University of Southampton,southampton.ac.uk,southampton.ac.uk,THE UNIVERSITY OF SOUTHAMPTON,The University of Southampton,GB,University of Southampton,"Room 2207 & Room 2209, Building 85",-1.396227,50.934345,SWC,,,['SWC'],https://southampton-rsg.github.io/2015-12-15-Southampton/,
2019-06-03-KCL,2019.0,2019-06-03,2019-06-04,16,United Kingdom,London,GB,King's College London,kcl.ac.uk,kcl.ac.uk,KING'S COLLEGE LONDON,King's College London,GB,King's College London,"5th Floor Bermondsey Wing, Large AALB Room",-0.096739,51.517146000000004,DC,,,['DC'],https://rociotmartinez.github.io/2019-06-03-KCL,
2016-04-18-leeds,2016.0,2016-04-18,2016-04-19,18,United Kingdom,Yorkshire and The Humber,GB,University of Leeds,leeds.ac.uk,leeds.ac.uk,UNIVERSITY OF LEEDS,University of Leeds,GB,University of Leeds,"Woodhouse Lane, Leeds, LS2 9JT",-1.55231,53.808116000000005,SWC,,,['SWC'],http://arcleeds.github.io/2016-04-18-leeds/,
2019-04-01-elxir-csc,2019.0,2019-04-01,2019-04-02,0,Finland,Eastern,FI,ELIXIR-UK,elixir-uk.org,elixir-uk.org,ELIXIR UK,ELIXIR UK,GB,"CSC Training Facilities, Finland","Keilaranta 14, Espoo, Finland",24.8304687,60.178062100000005,DC,,,['DC'],https://punama.github.io/2019-04-01-elxir-csc/,
2016-08-31-southampton,2016.0,2016-08-31,2016-09-01,22,United Kingdom,South East,GB,University of Southampton,southampton.ac.uk,southampton.ac.uk,THE UNIVERSITY OF SOUTHAMPTON,The University of Southampton,GB,University of Southampton,"Room 3077, Building 32",-1.396227,50.934345,SWC,,,['SWC'],https://southampton-rsg.github.io/2016-08-31-southampton/,
2013-11-14-exeter,2013.0,2013-11-14,2013-11-15,23,United Kingdom,South West,GB,University of Exeter,exeter.ac.uk,exeter.ac.uk,UNIVERSITY OF EXETER,University of Exeter,GB,University of Exeter,"Reed Hall, Streatham Drive, Exeter, Devon EX4 4QR",-3.5350330000000003,50.735788,SWC,,,['SWC'],https://chryswoods.github.io/2013-11-14-exeter/,
2014-01-14-manchester,2014.0,2014-01-14,2014-01-15,19,United Kingdom,North West,GB,University of Manchester,manchester.ac.uk,manchester.ac.uk,THE UNIVERSITY OF MANCHESTER,The University of Manchester,GB,University of Manchester,"Room IT407, Information Technology Building, University of Manchester, Oxford Road, M13 9PL",-2.2331540000000003,53.467971999999996,SWC,,,['SWC'],https://apawlik.github.io/2014-01-14-manchester/,
2019-09-26-edinburgh-swc,2019.0,2019-09-26,2019-09-27,0,United Kingdom,Scotland,GB,University of Edinburgh,ed.ac.uk,ed.ac.uk,UNIVERSITY OF EDINBURGH,University of Edinburgh,GB,School of Chemistry: Python and Unix Shell,"Joseph Black building T40 and G.09, Kings Buildingings",-3.173591,55.921711,SWC,,,['SWC'],https://edcarp.github.io/2019-09-26-edinburgh-swc/,
2018-04-10-Aberystwyth_shell,2018.0,2018-04-10,2018-04-17,6,United Kingdom,Wales,GB,University of Aberystwyth,aber.ac.uk,aber.ac.uk,PRIFYSGOL ABERYSTWYTH,Prifysgol Aberystwyth,GB,The Unix Shell - Aberystwyth University,"Room 3.03, Physical Sciences Building, Aberystwyth University, Penglais, SY23 3BZ",-4.0659,52.4159,SWC,Circuits,,"['SWC', 'Circuits']",https://scw-aberystwyth.github.io/2018-04-10-Aberystwyth_shell/,
2016-05-04-instructor-training-ssi,2016.0,2016-05-04,2016-05-05,15,United Kingdom,Scotland,GB,University of Edinburgh,ed.ac.uk,ed.ac.uk,UNIVERSITY OF EDINBURGH,University of Edinburgh,GB,University of Edinburgh,"Room 4325C, James Clerk Maxwell Building, The University of Edinburgh",-3.174546,55.92155,TTT,,,['TTT'],http://swcarpentry.github.io/2016-05-04-instructor-training-ssi/,
2018-11-06-edinburgh-igmm-python,2018.0,2018-11-06,2018-11-07,24,United Kingdom,Scotland,GB,University of Edinburgh,ed.ac.uk,ed.ac.uk,UNIVERSITY OF EDINBURGH,University of Edinburgh,GB,"Computing Lab 1, Medical Education Centre","Crewe Rd S, Edinburgh EH4 2XU",-3.2318599999999997,55.96286,SWC,,,['SWC'],https://edcarp.github.io/2018-11-06-edinburgh-igmm-python/,
2019-05-29-elixir-nottingham,2019.0,2019-05-29,2019-05-30,0,United Kingdom,East Midlands,GB,ELIXIR-UK,elixir-uk.org,elixir-uk.org,ELIXIR UK,ELIXIR UK,GB,University of Nottingham,"The University of Nottingham, Teaching and Learning Building, Room E07, University Park, Nottingham, NG7 2NR",-1.1946700000000001,52.934502,SWC,,,['SWC'],https://math2522.github.io/2019-05-29-elixir-nottingham/,
2017-11-07-ukarchives,2017.0,2017-11-07,2017-11-07,0,United Kingdom,Eastern,GB,Archives and Records Association (UK & Ireland),archives.org.uk,archives.org.uk,ARCHIVES AND RECORDS ASSOCIATION (UK & IRELAND),Archives and Records Association (UK & Ireland),GB,"The National Archives, Kew","J31 Park, B&Q, Motherwell Way, Aveley RM20 3EH, United Kingdom",0.2799,51.4816,LC,,,['LC'],https://www.eventbrite.com/e/library-carpentry-archivists-and-records-managers-tickets-36187449636,
2020-03-20-ukaea-swcarpentry,2020.0,2020-03-20,2020-03-25,0,United Kingdom,South East,GB,"Culham Centre for Fusion Energy, UK Atomic Energy Authority",ccfe.ukaea.uk,ukaea.uk,UK ATOMIC ENERGY AUTHORITY,UK Atomic Energy Authority,GB,UK Atomic Energy Authority,"LRDC, Culham Science Centre, Abingdon",-1.23,51.657,SWC,,,['SWC'],https://ukaea-rse-training.github.io/2020-03-20-ukaea-swcarpentry,
2015-11-09-culham,2015.0,2015-11-09,2015-11-10,43,United Kingdom,South East,GB,UK Atomic Energy Authority,ukaea.uk,ukaea.uk,UK ATOMIC ENERGY AUTHORITY,UK Atomic Energy Authority,GB,Culham Centre for Fusion Energy,"Abingdon, Oxfordshire, OX14 3DB, UK",-1.2287899,51.6576076,SWC,,,['SWC'],https://kpalamartchouk.github.io/2015-11-09-culham/,
2020-06-16-sfc-online,2020.0,2020-06-16,2020-06-17,0,United Kingdom,Scotland,GB,University of Edinburgh,ed.ac.uk,ed.ac.uk,UNIVERSITY OF EDINBURGH,University of Edinburgh,GB,ONLINE,ONLINE,-3.187347,55.945358,DC,,,"['DC', 'online']",https://edcarp.github.io/2020-06-16-sfc-online/,
2017-07-03-ngb-leeds,2017.0,2017-07-03,2017-07-05,18,United Kingdom,Yorkshire and The Humber,GB,University of Leeds,leeds.ac.uk,leeds.ac.uk,UNIVERSITY OF LEEDS,University of Leeds,GB,University of Leeds,"Fourman Cluster (room 8.49), Worsley Building, Clarendon Way, Leeds LS2 9JT",-1.555145,53.80361,SWC,,,['SWC'],https://arctraining.github.io/2017-07-03-ngb-leeds/,
2019-11-14-Imperial,2019.0,2019-11-14,2019-11-15,0,United Kingdom,London,GB,Imperial College London,imperial.ac.uk,imperial.ac.uk,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE","Imperial College of Science, Technology and Medicine",GB,Imperial College London,"ICT training room, Central Library 204, South Kensington Campus",-0.174877,51.4988,SWC,,,['SWC'],https://kmichali.github.io/2019-11-14-Imperial/,
2018-10-08-edinburgh-igmm-shell,2018.0,2018-10-09,2018-10-09,22,United Kingdom,Scotland,GB,University of Edinburgh,ed.ac.uk,ed.ac.uk,UNIVERSITY OF EDINBURGH,University of Edinburgh,GB,"Western General Hospital, Ediniburgh","Computing Lab 1, Medical Education Centre, Crewe Rd S, Edinburgh EH4 2XU",-3.2318599999999997,55.96286,SWC,,,['SWC'],https://edcarp.github.io/2018-10-08-edinburgh-igmm-shell,
2019-10-31-ttt-Imperial,2019.0,2019-10-31,2019-11-01,0,United Kingdom,London,GB,Imperial College London,imperial.ac.uk,imperial.ac.uk,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE","Imperial College of Science, Technology and Medicine",GB,Imperial College London,"ICT training room, Central Library 204,  South Kensington Campus",-0.178368,51.498152000000005,TTT,,,['TTT'],https://kmichali.github.io/2019-10-31-ttt-Imperial/,
2015-01-13-oxford,2015.0,2015-01-13,2015-01-14,28,United Kingdom,South East,GB,University of Oxford,ox.ac.uk,ox.ac.uk,UNIVERSITY OF OXFORD,University of Oxford,GB,Oxford University,"Wellcome Trust for Human Genetics, Roosevelt Drive, Oxford, OX3 7BN",-1.2152379999999998,51.752109999999995,SWC,,,['SWC'],https://philipwfowler.github.io/2015-01-13-oxford/,
2020-06-25-edinburgh-dc-genomics,2020.0,2020-06-25,2020-06-26,0,United Kingdom,Scotland,GB,University of Edinburgh,ed.ac.uk,ed.ac.uk,UNIVERSITY OF EDINBURGH,University of Edinburgh,GB,Edinburgh Carpentries and National Horizons Centre,Zoom.us (connection details will be circulated to attendees privately,-3.187158,55.945541000000006,DC,,,"['DC', 'online']",https://edcarp.github.io/2020-06-25-edinburgh-dc-genomics/,
2017-03-02-manchester,2017.0,2017-03-02,2017-03-03,11,United Kingdom,North West,GB,University of Manchester,manchester.ac.uk,manchester.ac.uk,THE UNIVERSITY OF MANCHESTER,The University of Manchester,GB,"EPSRC & MRC Centre for Doctoral Training in Regenerative Medicine, University of Manchester","C24 Sackville St Building, 60 Sackville St, Manchester M1 3WE",-2.234747,53.475809,SWC,,,['SWC'],https://anenadic.github.io/2017-03-02-manchester/,
2015-02-03-CDT-reg-medicine,2015.0,2015-02-03,2015-02-04,11,United Kingdom,North West,GB,University of Manchester,manchester.ac.uk,manchester.ac.uk,THE UNIVERSITY OF MANCHESTER,The University of Manchester,GB,"EPSRC & MRC Centre for Doctoral Training in Regenerative Medicine, University of Manchester","Room C24 in the Sackville St Building, Sackville Street, Manchester",-2.2374,53.4773,SWC,,,['SWC'],https://apawlik.github.io/2015-02-03-CDT-reg-medicine/,
2020-01-15-ukaea-swcarpentry,2020.0,2020-01-15,2020-01-30,0,United Kingdom,South East,GB,UK Atomic Energy Authority,ukaea.uk,ukaea.uk,UK ATOMIC ENERGY AUTHORITY,UK Atomic Energy Authority,GB,UK Atomic Energy Authority,"LRDC, Culham Science Centre, Abingdon",-1.23,51.657,SWC,,,['SWC'],https://ukaea-rse-training.github.io/2020-01-15-ukaea-swcarpentry,
2018-03-29-standrews,2018.0,2018-03-29,2018-03-30,0,United Kingdom,Scotland,GB,University of St. Andrews,st-andrews.ac.uk,st-andrews.ac.uk,UNIVERSITY OF ST ANDREWS,University of St Andrews,GB,University of St Andrews,"Lecture Theatre 2, The Gateway, University of St Andrews, North Haugh, St Andrews, Fife, KY16 9RJ",-2.809415,56.341241000000004,SWC,,,['SWC'],https://starescomp.github.io/2018-03-29-standrews/,
2020-05-26-sfc-online,2020.0,2020-05-26,2020-05-27,0,United Kingdom,Scotland,GB,University of Edinburgh,ed.ac.uk,ed.ac.uk,UNIVERSITY OF EDINBURGH,University of Edinburgh,GB,ONLINE,ONLINE,-3.187347,55.945358,DC,,,"['DC', 'online']",https://edcarp.github.io/2020-05-26-sfc-online/,
