institution,institutional_region,normalised_institution,latitude,longitude,country,country_code,taught_workshops,taught_workshop_dates,taught_workshops_per_year,domains,badges,badges_dates,swc-instructor,dc-instructor,lc-instructor,trainer,earliest_badge_awarded,year_earliest_badge_awarded,airport,airport_code,airport_latitude,airport_longitude,airport_region
University of Birmingham,West Midlands,University of Birmingham,52.448986,-1.930855,United Kingdom,GB,"2013-03-04-lbl,2018-07-26-python","2013-03-04,2018-07-26","{2013: 1, 2018: 1}","['Medicine', 'Psychology/neuroscience']",['swc-instructor'],['2016-03-22'],2016-03-22,,,,2016-03-22,2016,Birmingham,BHX,52.453610999999995,-1.7477779999999998,West Midlands
University of Leeds,Yorkshire and The Humber,University of Leeds,53.808493999999996,-1.552797,United Kingdom,GB,"2014-11-24-leeds,2015-01-14-leeds,2015-08-26-leeds,2015-09-10-leeds,2015-10-29-Leeds-DC,2016-01-19-london-nhm,2016-01-11-huddersfield,2016-04-18-leeds,2016-09-27-milan,2016-06-27-leeds,2016-01-06-bristol,2016-01-18-leeds,2017-01-18-bristol,2017-03-30-manchester,2016-06-16-leeds,2016-06-23-leeds,2016-08-22-edinburgh,2016-08-24-edinburgh,2017-01-04-bristol,2017-05-08-leeds,2017-04-20-leeds,2017-07-13-ttt-online,2016-11-21-leeds,2017-10-30-imperial-ttt,2017-07-03-ngb-leeds,2018-04-18-ttt-leeds,2018-08-21-ttt,2017-07-19-imperial,2017-07-17-imperial,2019-09-25-ttt-leeds,2019-10-31-ttt-Imperial","2014-11-24,2015-01-14,2015-08-26,2015-09-10,2015-10-29,2016-01-19,2016-01-11,2016-04-18,2016-09-27,2016-06-27,2016-01-06,2016-01-18,2017-01-18,2017-03-30,2016-06-16,2016-06-23,2016-08-22,2016-08-24,2017-01-04,2017-05-08,2017-04-20,2017-07-13,2016-11-21,2017-10-30,2017-07-03,2018-04-18,2018-08-21,2017-07-19,2017-07-17,2019-09-25,2019-10-31","{2014: 1, 2015: 4, 2016: 12, 2017: 10, 2018: 2, 2019: 2}","['Computer science/electrical engineering', 'Social sciences', 'Humanities', 'Library and information science', 'Education', 'High performance computing']","['swc-instructor', 'dc-instructor']","['2015-08-03', '2016-01-30']",2015-08-03,2016-01-30,,,2015-08-03,2015,Leeds,LBA,53.865832999999995,-1.6605560000000001,Yorkshire and The Humber
Queen Mary University of London,,Queen Mary University of London,,,United Kingdom,GB,"2012-04-30-ucl,2012-05-14-newcastle,2012-09-13-dafx,2013-02-06-qmul","2012-04-30,2012-05-14,2012-09-13,2013-02-06","{2012: 3, 2013: 1}",,['swc-instructor'],['2012-12-20'],2012-12-20,,,,2012-12-20,2012,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University of Southampton,South East,University of Southampton,50.93418,-1.395675,United Kingdom,GB,"2018-09-18-southampton-swc,2019-07-09-rslondon,2019-11-14-Imperial,2020-11-25-rslondon","2018-09-18,2019-07-09,2019-11-14,2020-11-25","{2018: 1, 2019: 2, 2020: 1}",,['swc-instructor'],['2017-12-05'],2017-12-05,,,,2017-12-05,2017,Southampton,SOU,50.95,-1.356667,South East
University College London,London,University College London,51.524774,-0.133401,United Kingdom,GB,2017-10-31-UCL_software_carpentry,2017-10-31,{2017: 1},['Physics'],['swc-instructor'],['2017-07-14'],2017-07-14,,,,2017-07-14,2017,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University of Edinburgh,Scotland,University of Edinburgh,55.948003,-3.188111,United Kingdom,GB,2012-05-14-newcastle,2012-05-14,{2012: 1},['Computer science/electrical engineering'],"['swc-instructor', 'dc-instructor']","['2012-12-20', '2017-01-16']",2012-12-20,2017-01-16,,,2012-12-20,2012,Edinburgh,EDI,55.95,-3.3725,Scotland
The James Hutton Institute,,The James Hutton Institute,,,United Kingdom,GB,"2018-11-27-standrews,2019-09-23-standrews","2018-11-27,2019-09-23","{2018: 1, 2019: 1}","['Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2019-10-10'],2019-10-10,,,,2019-10-10,2019,Edinburgh,EDI,55.95,-3.3725,Scotland
Wellcome Trust Sanger Institute,Eastern,Wellcome Trust Sanger Institute,52.0797171,0.18558740000003127,United Kingdom,GB,,,,['High performance computing'],['swc-instructor'],['2015-06-12'],2015-06-12,,,,2015-06-12,2015,Stansted,STN,51.885,0.235,Eastern
University College London,London,University College London,51.524774,-0.133401,United Kingdom,GB,"2016-12-13-UCL_software_carpentry,2017-04-27-UCL_software_carpentry,2017-10-31-UCL_software_carpentry","2016-12-13,2017-04-27,2017-10-31","{2016: 1, 2017: 2}","['Organismal biology (ecology', ' botany', ' zoology', ' microbiology)', 'Genetics', ' genomics', ' bioinformatics', 'Medicine', 'Computer science/electrical engineering', 'Psychology/neuroscience', 'Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2017-06-08'],2017-06-08,,,,2017-06-08,2017,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University of Liverpool,North West,University of Liverpool,53.406416,-2.9755540000000003,United Kingdom,GB,"2016-01-06-bristol,2016-01-18-leeds,2016-06-29-leeds,2017-01-18-bristol","2016-01-06,2016-01-18,2016-06-29,2017-01-18","{2016: 3, 2017: 1}","['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'Physics', 'Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2016-02-02'],2016-02-02,,,,2016-02-02,2016,Manchester,MAN,53.353611,-2.274722,North West
University of Southampton,South East,University of Southampton,50.93418,-1.395675,United Kingdom,GB,"2012-02-20-itcp,2012-05-14-newcastle,2012-10-30-oxford,2013-01-22-tum,2013-01-25-tuebingen,2013-03-07-virginia,2015-09-17-southampton,2015-12-07-eu-instructor-training,2015-12-15-Southampton,2016-05-04-instructor-training-ssi,2016-11-24-ttt-metoffice,2017-03-16-ttt-oxford,2017-02-21-online-instructor-training,2016-08-31-southampton,2016-09-19-ttt-cambridge,2017-07-13-ttt-online,2017-11-08-southampton-swc,2017-08-01-southampton-swc,2017-12-05-ttt-southampton,2018-10-09-ttt-online,2018-09-18-southampton-swc,2019-07-25-ttt-online-BST,2020-04-30-southamton-online,2020-09-08-ttt-ssi-online,2020-05-15-southamton-online","2012-02-20,2012-05-14,2012-10-30,2013-01-22,2013-01-25,2013-03-07,2015-09-17,2015-12-07,2015-12-15,2016-05-04,2016-11-24,2017-03-16,2017-02-21,2016-08-31,2016-09-19,2017-07-13,2017-11-08,2017-08-01,2017-12-05,2018-10-09,2018-09-18,2019-07-25,2020-04-30,2020-09-08,2020-05-15","{2012: 3, 2013: 3, 2015: 3, 2016: 4, 2017: 6, 2018: 2, 2019: 1, 2020: 3}","['Computer science/electrical engineering', 'High performance computing']","['swc-instructor', 'dc-instructor']","['2012-12-20', '2017-01-16']",2012-12-20,2017-01-16,,,2012-12-20,2012,Southampton,SOU,50.95,-1.356667,South East
University of Sheffield,Yorkshire and The Humber,University of Sheffield,53.381409,-1.488709,United Kingdom,GB,,,,"['Physics', 'Education', 'Mathematics/statistics', 'High performance computing']","['swc-instructor', 'dc-instructor']","['2015-09-02', '2017-01-16']",2015-09-02,2017-01-16,,,2015-09-02,2015,Manchester,MAN,53.353611,-2.274722,North West
Earlham Institute,Eastern,Earlham Institute,52.6217407,1.2189869000000044,United Kingdom,GB,"2014-02-03-TGAC,2016-03-08-TGAC,2016-10-18-EI,2016-10-17-lincoln,2017-10-10-norwich,2017-04-26-norwich,2018-06-12-ttt-online,2018-10-08-ttt_BiXCoP,2019-09-10-ttt-online-BST,2019-10-22-ttt-colombia,2020-03-23-ttt-online-GMT,2020-03-03-earlham,2020-01-21-earlham,2020-06-30-earlham","2014-02-03,2016-03-08,2016-10-18,2016-10-17,2017-10-10,2017-04-26,2018-06-12,2018-10-08,2019-09-10,2019-10-22,2020-03-23,2020-03-03,2020-01-21,2020-06-30","{2014: 1, 2016: 3, 2017: 2, 2018: 2, 2019: 2, 2020: 4}","['Genetics', ' genomics', ' bioinformatics', 'Computer science/electrical engineering', 'High performance computing']",['swc-instructor'],['2014-11-22'],2014-11-22,,,,2014-11-22,2014,Norwich,NWI,52.675833,1.282778,Eastern
University of Edinburgh,Scotland,University of Edinburgh,55.948003,-3.188111,United Kingdom,GB,"2015-04-16-imperial,2015-12-14-Portsmouth,2016-02-16-EPCC,2016-03-23-Imperial,2016-06-09-Belfast,2017-05-11-edinburgh,2017-05-09-edinburgh,2016-11-02-EPCC,2017-06-01-Belfast,2017-10-16-Glasgow,2017-12-11-Imperial","2015-04-16,2015-12-14,2016-02-16,2016-03-23,2016-06-09,2017-05-11,2017-05-09,2016-11-02,2017-06-01,2017-10-16,2017-12-11","{2015: 2, 2016: 4, 2017: 5}","['Physics', 'Computer science/electrical engineering', 'High performance computing']","['swc-instructor', 'dc-instructor']","['2015-02-03', '2016-11-15']",2015-02-03,2016-11-15,,,2015-02-03,2015,Edinburgh,EDI,55.95,-3.3725,Scotland
Arriva Group,North East,Arriva Group,54.86353090000001,-1.4335148000000117,United Kingdom,GB,"2012-09-13-dafx,2013-01-25-tuebingen,2013-02-06-qmul","2012-09-13,2013-01-25,2013-02-06","{2012: 1, 2013: 2}",,['swc-instructor'],['2013-07-20'],2013-07-20,,,,2013-07-20,2013,London City,LCY,51.505,0.05416699999999999,London
Imperial College London,,Imperial College London,,,United Kingdom,GB,"2014-02-13-UNSW,2014-02-18-UTS","2014-02-13,2014-02-18",{2014: 2},"['Organismal biology (ecology', ' botany', ' zoology', ' microbiology)']",['swc-instructor'],['2013-07-20'],2013-07-20,,,,2013-07-20,2013,London Heathrow,LHR,51.4775,-0.46138900000000005,London
Kings College London,,Kings College London,,,United Kingdom,GB,,,,"['Organismal biology (ecology', ' botany', ' zoology', ' microbiology)', 'Genetics', ' genomics', ' bioinformatics', 'High performance computing']",['swc-instructor'],['2019-10-10'],2019-10-10,,,,2019-10-10,2019,,,,,
University of Oxford,South East,University of Oxford,51.757644,-1.262868,United Kingdom,GB,"2012-10-30-oxford,2015-01-13-oxford,2015-10-12-cecam-julich,2017-01-09-oxford","2012-10-30,2015-01-13,2015-10-12,2017-01-09","{2012: 1, 2015: 2, 2017: 1}","['Genetics', ' genomics', ' bioinformatics', 'High performance computing']","['swc-instructor', 'dc-instructor']","['2014-10-03', '2016-10-06']",2014-10-03,2016-10-06,,,2014-10-03,2014,London Heathrow,LHR,51.4775,-0.46138900000000005,London
Wellcome Trust Sanger Institute,Eastern,Wellcome Trust Sanger Institute,52.0797171,0.18558740000003127,United Kingdom,GB,,,,"['Computer science/electrical engineering', 'High performance computing']",['swc-instructor'],['2015-07-15'],2015-07-15,,,,2015-07-15,2015,Stansted,STN,51.885,0.235,Eastern
Delcam Ltd,West Midlands,Delcam Ltd,52.46245099999999,-1.8450110999999652,United Kingdom,GB,,,,"['Physics', 'Education', 'Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2014-10-16'],2014-10-16,,,,2014-10-16,2014,Birmingham,BHX,52.453610999999995,-1.7477779999999998,West Midlands
Imperial College London,,Imperial College London,,,United Kingdom,GB,2014-06-02-icl-geo,2014-06-02,{2014: 1},,['swc-instructor'],['2014-11-27'],2014-11-27,,,,2014-11-27,2014,London Heathrow,LHR,51.4775,-0.46138900000000005,London
The Sir Alister Hardy Foundation for Ocean Science (SAHFOS),South West,The Sir Alister Hardy Foundation for Ocean Science (SAHFOS),50.364335,-4.138946,United Kingdom,GB,2020-01-09-kcl,2020-01-09,{2020: 1},,['swc-instructor'],['2017-12-22'],2017-12-22,,,,2017-12-22,2017,Exeter,EXT,50.734444,-3.4138889999999997,South West
University of Southampton,South East,University of Southampton,50.93418,-1.395675,United Kingdom,GB,2016-02-05-nyas-R,2016-02-05,{2016: 1},"['Organismal biology (ecology', ' botany', ' zoology', ' microbiology)', 'Mathematics/statistics']","['swc-instructor', 'dc-instructor']","['2015-05-14', '2017-01-16']",2015-05-14,2017-01-16,,,2015-05-14,2015,Southampton,SOU,50.95,-1.356667,South East
University of Edinburgh,Scotland,University of Edinburgh,55.948003,-3.188111,United Kingdom,GB,"2014-12-03-edinburgh,2014-12-11-ugsupa","2014-12-03,2014-12-11",{2014: 2},,"['swc-instructor', 'dc-instructor']","['2014-11-20', '2017-01-16']",2014-11-20,2017-01-16,,,2014-11-20,2014,Edinburgh,EDI,55.95,-3.3725,Scotland
University of Exeter,South West,University of Exeter,50.735199,-3.5343699999999996,United Kingdom,GB,2017-09-26-Exeter,2017-09-26,{2017: 1},"['Genetics', ' genomics', ' bioinformatics', 'Mathematics/statistics']","['dc-instructor', 'swc-instructor']","['2016-11-11', '2016-11-24']",2016-11-24,2016-11-11,,,2016-11-11,2016,Bristol,BRS,51.3825,-2.718889,South West
Thales,North West,Thales,53.3911872,-2.185189799999989,United Kingdom,GB,,,,['Computer science/electrical engineering'],['swc-instructor'],['2014-12-23'],2014-12-23,,,,2014-12-23,2014,Manchester,MAN,53.353611,-2.274722,North West
University of Southampton,South East,University of Southampton,50.93418,-1.395675,United Kingdom,GB,"2015-11-11-london-royal-h-,2015-12-15-Southampton","2015-11-11,2015-12-15",{2015: 2},['Space sciences'],['swc-instructor'],['2014-12-23'],2014-12-23,,,,2014-12-23,2014,Southampton,SOU,50.95,-1.356667,South East
University of Oxford,South East,University of Oxford,51.757644,-1.262868,United Kingdom,GB,,,,"['Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2015-06-12'],2015-06-12,,,,2015-06-12,2015,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University College London,London,University College London,51.524774,-0.133401,United Kingdom,GB,"2013-04-04-ucl,2013-09-27-ucl,2013-10-24-greenwich,2014-02-18-UCL,2014-05-19-ucl,2015-02-25-ucl,2017-09-25-UCL_software_carpentry","2013-04-04,2013-09-27,2013-10-24,2014-02-18,2014-05-19,2015-02-25,2017-09-25","{2013: 3, 2014: 2, 2015: 1, 2017: 1}","['Physics', 'Genetics', ' genomics', ' bioinformatics', 'Computer science/electrical engineering', 'Mathematics/statistics', 'High performance computing']","['swc-instructor', 'dc-instructor']","['2013-11-17', '2016-12-01']",2013-11-17,2016-12-01,,,2013-11-17,2013,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University of Edinburgh,Scotland,University of Edinburgh,55.948003,-3.188111,United Kingdom,GB,"2012-05-14-newcastle,2012-10-22-newcastle,2012-10-30-oxford,2012-12-04-edinburgh,2013-04-11-egi,2013-04-18-manchester,2013-07-15-bath,2013-12-03-edinburgh,2014-07-21-cranfield,2014-09-16-imperial,2014-12-03-edinburgh,2016-03-10-CDT-reg-medicine,2017-05-11-edinburgh,2017-05-09-edinburgh,2018-03-08-manchester-swc,2019-06-19-edinburgh-git","2012-05-14,2012-10-22,2012-10-30,2012-12-04,2013-04-11,2013-04-18,2013-07-15,2013-12-03,2014-07-21,2014-09-16,2014-12-03,2016-03-10,2017-05-11,2017-05-09,2018-03-08,2019-06-19","{2012: 4, 2013: 4, 2014: 3, 2016: 1, 2017: 2, 2018: 1, 2019: 1}","['Computer science/electrical engineering', 'High performance computing']","['swc-instructor', 'dc-instructor']","['2012-12-20', '2017-02-16']",2012-12-20,2017-02-16,,,2012-12-20,2012,Edinburgh,EDI,55.95,-3.3725,Scotland
,,,,,United Kingdom,GB,2014-06-02-icl-geo,2014-06-02,{2014: 1},"['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'Physics', 'Computer science/electrical engineering', 'Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2014-10-03'],2014-10-03,,,,2014-10-03,2014,Southampton,SOU,50.95,-1.356667,South East
University of Birmingham,West Midlands,University of Birmingham,52.448986,-1.930855,United Kingdom,GB,"2019-02-18-bham,2019-06-03-bham","2019-02-18,2019-06-03",{2019: 2},"['Chemistry', 'Genetics', ' genomics', ' bioinformatics', 'Mathematics/statistics']",['swc-instructor'],['2018-04-12'],2018-04-12,,,,2018-04-12,2018,Birmingham,BHX,52.453610999999995,-1.7477779999999998,West Midlands
Climate Code Foundation,Yorkshire and The Humber,Climate Code Foundation,53.3143842,-1.52900139999997,United Kingdom,GB,2013-04-18-manchester,2013-04-18,{2013: 1},"['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'Genetics', ' genomics', ' bioinformatics', 'Computer science/electrical engineering']",['swc-instructor'],['2013-07-20'],2013-07-20,,,,2013-07-20,2013,Manchester,MAN,53.353611,-2.274722,North West
University of Edinburgh,Scotland,University of Edinburgh,55.948003,-3.188111,United Kingdom,GB,2013-12-16-dundee,2013-12-16,{2013: 1},"['Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2015-02-06'],2015-02-06,,,,2015-02-06,2015,Edinburgh,EDI,55.95,-3.3725,Scotland
Kew Royal Botanic Gardens,London,Kew Royal Botanic Gardens,51.4787438,-0.2955729999999903,United Kingdom,GB,2016-05-16-royalholloway,2016-05-16,{2016: 1},,['swc-instructor'],['2014-12-23'],2014-12-23,,,,2014-12-23,2014,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University of St Andrews,Scotland,University of St Andrews,56.341205,-2.793016,United Kingdom,GB,"2015-11-16-manchester-codima,2016-10-17-edinburgh,2017-03-23-standrews,2017-05-18-standrews,2018-03-20-ttt-online,2018-05-24-ttt-online,2017-12-04-standrews,2018-03-29-standrews,2018-11-05-ttt-online,2018-11-27-standrews,2018-12-10-standrews,2019-05-13-ttt-online-BST,2019-05-02-standrews,2019-05-30-standrews,2019-09-23-standrews,2020-04-30-ttt-online-BST,2020-02-20-lancaster,2020-05-28-ttt-edinburgh,2020-11-06-standrews","2015-11-16,2016-10-17,2017-03-23,2017-05-18,2018-03-20,2018-05-24,2017-12-04,2018-03-29,2018-11-05,2018-11-27,2018-12-10,2019-05-13,2019-05-02,2019-05-30,2019-09-23,2020-04-30,2020-02-20,2020-05-28,2020-11-06","{2015: 1, 2016: 1, 2017: 3, 2018: 6, 2019: 4, 2020: 4}","['Computer science/electrical engineering', 'Mathematics/statistics']","['swc-instructor', 'dc-instructor']","['2016-12-06', '2016-12-06']",2016-12-06,2016-12-06,,,2016-12-06,2016,RAF Leuchars Airport,ADX,56.3728981,-2.8684399,Scotland
University College London,London,University College London,51.524774,-0.133401,United Kingdom,GB,"2014-11-17-liverpool,2015-01-13-oxford,2015-06-02-cern-lhcb,2015-11-11-london-royal-h-,2015-11-16-manchester-codima,2017-06-05-ghana,2018-01-25-swansea,2018-11-05-ttt-online","2014-11-17,2015-01-13,2015-06-02,2015-11-11,2015-11-16,2017-06-05,2018-01-25,2018-11-05","{2014: 1, 2015: 4, 2017: 1, 2018: 2}",['Physics'],"['swc-instructor', 'dc-instructor']","['2015-07-05', '2017-01-16']",2015-07-05,2017-01-16,,,2015-07-05,2015,London Gatwick,LGW,51.148056,-0.190278,South East
University of Leeds,Yorkshire and The Humber,University of Leeds,53.808493999999996,-1.552797,United Kingdom,GB,2015-09-10-leeds,2015-09-10,{2015: 1},"['Space sciences', 'Physics', 'Medicine', 'Civil', ' mechanical', ' chemical', ' or nuclear engineering', 'Computer science/electrical engineering', 'Social sciences', 'Psychology/neuroscience', 'High performance computing']",['swc-instructor'],['2016-04-25'],2016-04-25,,,,2016-04-25,2016,Leeds,LBA,53.865832999999995,-1.6605560000000001,Yorkshire and The Humber
BBC,London,BBC,51.510025,-0.226846,United Kingdom,GB,"2014-11-05-UCL,2016-02-17-UCL_software_carpentry","2014-11-05,2016-02-17","{2014: 1, 2016: 1}","['Computer science/electrical engineering', 'Mathematics/statistics', 'High performance computing']","['swc-instructor', 'dc-instructor']","['2014-11-11', '2016-11-15']",2014-11-11,2016-11-15,,,2014-11-11,2014,London Heathrow,LHR,51.4775,-0.46138900000000005,London
The Sainsbury Laboratory,Eastern,The Sainsbury Laboratory,52.62462,1.222558,United Kingdom,GB,,,,,"['swc-instructor', 'dc-instructor']","['2014-11-09', '2016-12-01']",2014-11-09,2016-12-01,,,2014-11-09,2014,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University of Durham,North East,University of Durham,54.768149,-1.571868,United Kingdom,GB,"2012-05-14-newcastle,2012-10-22-newcastle,2013-04-29-wisc","2012-05-14,2012-10-22,2013-04-29","{2012: 2, 2013: 1}",,['swc-instructor'],['2013-07-20'],2013-07-20,,,,2013-07-20,2013,Durham Tees Valley Airport,MME,54.509201000000004,-1.42941,North East
University of Exeter,South West,University of Exeter,50.735199,-3.5343699999999996,United Kingdom,GB,2017-09-26-Exeter,2017-09-26,{2017: 1},['Physics'],['swc-instructor'],['2015-01-21'],2015-01-21,,,,2015-01-21,2015,Bristol,BRS,51.3825,-2.718889,South West
University of Cambridge,Eastern,University of Cambridge,52.205317,0.11664200000000001,United Kingdom,GB,,,,,['dc-instructor'],['2016-01-27'],,2016-01-27,,,2016-01-27,2016,Stansted,STN,51.885,0.235,Eastern
King's College London,London,King's College London,51.510734,-0.11691199999999999,United Kingdom,GB,,,,['Computer science/electrical engineering'],['swc-instructor'],['2015-05-14'],2015-05-14,,,,2015-05-14,2015,Birmingham,BHX,52.453610999999995,-1.7477779999999998,West Midlands
The University of Manchester,North West,The University of Manchester,53.467943000000005,-2.233222,United Kingdom,GB,"2014-11-10-manchester,2015-12-14-wise-uk,2015-07-22-ljubljana,2016-10-05-nottingham,2017-03-02-manchester,2017-03-30-manchester,2017-07-13-ttt-online,2017-09-04-ttt-manchester,2017-12-05-ttt-southampton,2018-01-30-ttt-online-UK,2018-03-20-ttt-online,2018-07-19-ss-dc-manchester,2018-10-09-ttt-online,2019-01-22-ttt-online-westeurope,2019-09-25-ttt-leeds,2019-10-08-ttt-manchester,2020-05-28-ttt-edinburgh,2020-05-13-sfc-online,2020-04-16-sfc-online,2020-09-08-ttt-ssi-online","2014-11-10,2015-12-14,2015-07-20,2016-10-05,2017-03-02,2017-03-30,2017-07-13,2017-09-04,2017-12-05,2018-01-30,2018-03-20,2018-07-19,2018-10-09,2019-01-22,2019-09-25,2019-10-08,2020-05-28,2020-05-13,2020-04-16,2020-09-08","{2014: 1, 2015: 2, 2016: 1, 2017: 5, 2018: 4, 2019: 3, 2020: 4}",['Computer science/electrical engineering'],"['swc-instructor', 'dc-instructor']","['2014-11-27', '2016-11-15']",2014-11-27,2016-11-15,,,2014-11-27,2014,Manchester,MAN,53.353611,-2.274722,North West
